id,lat,lon,user,uid,version,changeset,timestamp
122588538,33.6308339,-117.680027,Aaron Lidman,53073,4,11702988,2012-05-26T00:02:21Z
122588742,33.6129143,-117.8613914,Mathieu Marquer,53964,9,24985314,2014-08-24T18:04:36Z
122590271,33.7049696,-117.8608854,ivansanchez,5265,5,13679982,2012-10-29T22:09:05Z
122590624,33.7066321,-117.8544069,StellanL,28775,5,12825092,2012-08-22T21:01:02Z
122591041,33.600991,-117.866502,ToeBee,262151,8,12443128,2012-07-23T03:57:20Z
122591256,33.6106666,-117.8008989,jumbanho,38487,5,12431498,2012-07-22T12:02:34Z
122591293,33.7885565,-117.7991167,Aaron Lidman,53073,4,13484519,2012-10-13T20:44:54Z
122592007,33.7288263,-117.7734819,Chris Bell in California,194231,4,4839211,2010-05-29T02:14:57Z
122592561,33.7386307,-117.8478572,dale_p,60110,5,13030023,2012-09-08T04:47:32Z
122593164,33.7442795,-117.8418987,woodpeck_fixbot,147510,4,3347265,2009-12-11T08:38:46Z
122594690,33.5840852,-117.7163427,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:39:23Z
122594722,33.7326483,-117.6980696,SJFriedl,2709708,4,36787601,2016-01-25T01:52:35Z
122594751,33.7297908,-117.6989521,SJFriedl,2709708,4,36787601,2016-01-25T01:52:36Z
122594778,33.7279084,-117.694318,SJFriedl,2709708,4,36787601,2016-01-25T01:52:36Z
122594802,33.7265272,-117.6902871,SJFriedl,2709708,4,36787601,2016-01-25T01:52:36Z
122594835,33.7244089,-117.6859141,SJFriedl,2709708,4,36787601,2016-01-25T01:52:36Z
122594889,33.7209066,-117.6819367,SJFriedl,2709708,4,36787601,2016-01-25T01:52:36Z
122595043,33.585265,-117.7158363,woodpeck_fixbot,147510,4,3347265,2009-12-11T08:39:29Z
122595525,33.7408629,-117.8494362,dale_p,60110,5,13030023,2012-09-08T04:47:33Z
122595568,33.7399813,-117.8482302,dale_p,60110,5,13030023,2012-09-08T04:47:33Z
122595606,33.7330684,-117.8074153,The Temecula Mapper,313196,5,12494892,2012-07-26T07:24:25Z
122595725,33.7265585,-117.7908591,woodpeck_fixbot,147510,5,3347265,2009-12-11T08:39:36Z
122595906,33.6533585,-117.6718817,SJFriedl,2709708,5,30127186,2015-04-10T19:36:10Z
122596372,33.6254416,-117.8561955,ToeBee,262151,5,12443128,2012-07-23T03:30:58Z
122596774,33.6861035,-117.8748639,WernerP,315015,6,11237450,2012-04-09T12:15:41Z
122597780,33.6567968,-117.7588415,SJFriedl,2709708,7,34790209,2015-10-21T23:58:50Z
122597839,33.6187497,-117.7142416,Chris Bell in California,194231,5,12359657,2012-07-20T03:41:48Z
122598253,33.643538,-117.8016953,techlady,104962,5,5200933,2010-07-12T17:58:32Z
122598450,33.739421,-117.8460229,dale_p,60110,5,13030023,2012-09-08T04:47:34Z
122599261,33.6364645,-117.675824,SJFriedl,2709708,5,30132670,2015-04-10T23:36:50Z
122599460,33.5832013,-117.6722228,Evanator,451067,6,12552640,2012-07-30T20:09:51Z
122599746,33.5944253,-117.8383674,woodpeck_fixbot,147510,4,3347265,2009-12-11T08:40:18Z
122599973,33.7363064,-117.7839994,Chris Bell in California,194231,3,4445224,2010-04-17T07:57:54Z
122600094,33.6010572,-117.7044243,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:40:22Z
122600467,33.7819285,-117.8328561,Aaron Lidman,53073,4,13484519,2012-10-13T20:44:55Z
122601376,33.6306328,-117.8851889,woodpeck_fixbot,147510,4,3347265,2009-12-11T08:40:34Z
122601398,33.6278407,-117.878913,Aaron Lidman,53073,5,15508931,2013-03-26T21:29:20Z
122601623,33.7096092,-117.7836395,AM909,82317,4,4676650,2010-05-12T12:07:58Z
122601685,33.7300737,-117.7904328,The Temecula Mapper,313196,3,12494892,2012-07-26T06:29:31Z
122602169,33.7135334,-117.7730829,RichRico,2219338,5,38047530,2016-03-24T19:00:30Z
122602483,33.7084336,-117.7184385,NE2,207745,4,13451819,2012-10-11T09:21:40Z
122602624,33.6770283,-117.8263181,Christine_E,1707766,6,26137598,2014-10-17T05:59:31Z
122602928,33.5995545,-117.6862493,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:40:50Z
122603366,33.6663719,-117.7519184,Chris Bell in California,194231,5,12388793,2012-07-20T19:44:58Z
122603554,33.7812103,-117.8322968,Aaron Lidman,53073,4,13484519,2012-10-13T20:44:56Z
122604193,33.7091931,-117.7804811,Sundance,239998,5,5020429,2010-06-19T00:15:28Z
122604269,33.6740341,-117.7905905,SJFriedl,2709708,6,34052145,2015-09-16T01:07:27Z
122604373,33.6318588,-117.710333,SJFriedl,2709708,7,31161469,2015-05-15T06:09:47Z
122604895,33.6774888,-117.8418955,StellanL,28775,5,12825092,2012-08-22T21:01:01Z
122605042,33.6453754,-117.6817565,SJFriedl,2709708,7,32191046,2015-06-24T19:30:24Z
122605542,33.6049662,-117.7449166,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:41:37Z
122606453,33.6552574,-117.8637067,ponzu,101657,4,7799341,2011-04-07T22:27:08Z
122606542,33.6275433,-117.6801498,SJFriedl,2709708,4,31155603,2015-05-14T22:09:57Z
122607114,33.7753679,-117.8540537,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:41:56Z
122607825,33.6171051,-117.7344565,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:42:01Z
122608012,33.626768,-117.6824126,SJFriedl,2709708,4,31155603,2015-05-14T22:09:57Z
122608622,33.6455865,-117.680915,SJFriedl,2709708,9,32191046,2015-06-24T19:30:24Z
122608760,33.6862066,-117.8211702,jumbanho,38487,5,12419412,2012-07-21T20:24:26Z
122608839,33.6861462,-117.8221094,jumbanho,38487,5,12419412,2012-07-21T20:24:27Z
122609306,33.5978187,-117.7084326,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:42:20Z
122609963,33.6170049,-117.7128281,Chris Bell in California,194231,5,12359657,2012-07-20T03:41:49Z
122610126,33.6765285,-117.8070253,SJFriedl,2709708,6,34051009,2015-09-15T22:34:45Z
122610288,33.7728672,-117.8476561,Aaron Lidman,53073,4,13837837,2012-11-11T19:21:47Z
122610319,33.624936,-117.7985427,techlady,104962,4,5200417,2010-07-12T16:27:08Z
122610448,33.7054405,-117.6621457,SJFriedl,2709708,4,34338675,2015-09-30T03:18:47Z
122610518,33.6436582,-117.8389841,Chris Bell in California,194231,8,12441513,2012-07-22T23:29:14Z
122610983,33.7155011,-117.7351646,AM909,82317,4,4787128,2010-05-23T19:54:28Z
122611010,33.711738,-117.7356302,AM909,82317,4,4787128,2010-05-23T19:54:32Z
122611034,33.708314,-117.7315404,AM909,82317,4,4787128,2010-05-23T19:54:06Z
122611240,33.6691907,-117.8622491,Rockear,725620,5,12696434,2012-08-11T22:08:31Z
122611412,33.7355382,-117.8435553,dale_p,60110,5,13030023,2012-09-08T04:47:34Z
122611654,33.7669458,-117.8000819,SJFriedl,2709708,5,38029646,2016-03-23T21:52:04Z
122611759,33.6437644,-117.6781944,SJFriedl,2709708,5,30131073,2015-04-10T22:25:27Z
122612326,33.7502023,-117.8450929,ctr112280,351693,5,12443139,2012-07-23T02:52:24Z
122612564,33.7805717,-117.8378712,Aaron Lidman,53073,4,13484519,2012-10-13T20:44:56Z
122612657,33.6135509,-117.7106137,AM909,82317,4,5094385,2010-06-28T01:14:37Z
122612994,33.7338418,-117.8075958,Chris Bell in California,194231,3,5557406,2010-08-22T02:56:36Z
122613492,33.6539599,-117.6847855,SJFriedl,2709708,4,30890959,2015-05-08T03:43:06Z
