id,key,value,type
6005799,zip_right,91941,tiger
6018955,name,Brunt Street,regular
6018955,source,USGS Ortho,regular
6018955,highway,service,regular
6018955,service,alley,regular
6018955,cfcc,A41,tiger
6018955,county,"Baltimore-City, MD",tiger
6018955,reviewed,position,tiger
6018955,zip_left,21217,tiger
6018955,name_base,Brunt,tiger
6018955,name_type,St,tiger
6018955,zip_right,21217,tiger
6035263,name,Bayona Loop,regular
6035263,highway,residential,regular
6035263,cfcc,A41,tiger
6035263,tlid,195666040:195404021:195404023:195388795:195388778:195654913,tiger
6035263,county,"San Diego, CA",tiger
6035263,source,tiger_import_dch_v0.6_20070809,tiger
6035263,reviewed,no,tiger
6035263,zip_left,91910,tiger
6035263,name_base,Bayona,tiger
6035263,name_type,Loop,tiger
6035263,separated,no,tiger
6035263,zip_right,91910,tiger
6035263,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
6038409,ref,VA 161,regular
6038409,name,East Belt Boulevard,regular
6038409,lanes,2,regular
6038409,oneway,yes,regular
6038409,highway,primary,regular
6040590,ref,SR 637,regular
6040590,name,Hopkins Road,regular
6040590,name_1,State Route 637,regular
6040590,oneway,no,regular
6040590,highway,secondary,regular
6040590,cfcc,A41,tiger
6040590,county,"Richmond-City, VA",tiger
6040590,reviewed,no,tiger
6040590,zip_left,23234,tiger
6040590,name_base,Hopkins,tiger
6040590,name_type,Rd,tiger
6040590,zip_right,23234,tiger
6040590,name_base_1,State Route 637,tiger
6044214,name,Cottage Grove Lane,regular
6044214,highway,residential,regular
6044214,cfcc,A41,tiger
6044214,tlid,195293476,tiger
6044214,county,"San Diego, CA",tiger
6044214,source,tiger_import_dch_v0.6_20070809,tiger
6044214,reviewed,no,tiger
6044214,zip_left,92024,tiger
6044214,name_base,Cottage Grove,tiger
6044214,name_type,Ln,tiger
6044214,separated,no,tiger
6044214,zip_right,92024,tiger
6052619,name,Murray Street,regular
6052619,highway,residential,regular
6052619,cfcc,A41,tiger
6052619,tlid,195741095:195741096:195651113:195734852:195651159:195734854:195734855,tiger
6052619,county,"San Diego, CA",tiger
6052619,source,tiger_import_dch_v0.6_20070809,tiger
6052619,reviewed,no,tiger
6052619,name_base,Murray,tiger
6052619,name_type,St,tiger
6052619,separated,no,tiger
6052619,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
6095486,highway,service,regular
6095486,service,driveway,regular
6095486,cfcc,A41,tiger
6095486,county,"Prince George's, MD",tiger
6095486,reviewed,yes,tiger
6095852,highway,service,regular
6095852,service,driveway,regular
6095852,cfcc,A41,tiger
6095852,county,"Prince George's, MD",tiger
6095852,reviewed,no,tiger
6098321,highway,residential,regular
6098321,cfcc,A41,tiger
6098321,tlid,76413999,tiger
6098321,county,"Prince George's, MD",tiger
6098321,source,tiger_import_dch_v0.6_20070813,tiger
6098321,reviewed,no,tiger
6098321,separated,no,tiger
6098321,upload_uuid,bulk_upload.pl-5bf2b50d-2fe7-4a92-80c0-f26fa3f342dd,tiger
6102134,highway,residential,regular
6102134,cfcc,A41,tiger
6102134,tlid,169929119,tiger
6102134,county,"Pend Oreille, WA",tiger
6102134,source,tiger_import_dch_v0.6_20070830,tiger
6102134,reviewed,no,tiger
6102134,separated,no,tiger
6102134,upload_uuid,bulk_upload.pl-f8017f56-0396-47d1-9fab-d547942b18d4,tiger
6102935,highway,residential,regular
6102935,cfcc,A41,tiger
6102935,county,"Prince George's, MD",tiger
6102935,reviewed,no,tiger
6104023,highway,service,regular
6104023,cfcc,A41,tiger
6104023,county,"Prince George's, MD",tiger
6104023,reviewed,no,tiger
6104619,highway,service,regular
6104619,cfcc,A41,tiger
6104619,county,"Prince George's, MD",tiger
6104619,reviewed,no,tiger
6106496,name,National Forest Development Road 311,regular
6106496,highway,track,regular
6106496,cfcc,A51,tiger
6106496,county,"Pend Oreille, WA",tiger
6106496,reviewed,no,tiger
6106496,name_base,Natl Forest Develop Road 311,tiger
6107192,name,Boswell-Kings Lake Road,regular
6107192,name_1,National Forest Development Road 305,regular
6107192,highway,residential,regular
6107192,cfcc,A41,tiger
6107192,tlid,169914121:169914125:169914116:169914124:169914126:169914127:169914286:169914289,tiger
6107192,county,"Pend Oreille, WA",tiger
6107192,source,tiger_import_dch_v0.6_20070830,tiger
6107192,reviewed,no,tiger
6107192,name_base,Boswell-Kings Lake,tiger
6107192,name_type,Rd,tiger
6107192,separated,no,tiger
6107192,name_base_1,NFD Road 305,tiger
6108226,highway,track,regular
6108226,reviewed,no,tiger
6114096,name,National Forest Development Road 050,regular
6114096,highway,track,regular
6114096,cfcc,A41,tiger
6114096,county,"Skamania, WA",tiger
6114096,reviewed,no,tiger
6114096,name_base,Natl Forest Develop Road 050,tiger
6116618,name,Lakeshore Drive,regular
6116618,highway,residential,regular
6116618,cfcc,A41,tiger
6116618,county,"Skamania, WA",tiger
6116618,reviewed,no,tiger
6116618,name_base,Lakeshore,tiger
6116618,name_type,Dr,tiger
6116914,name,National Forest Development Road 3241,regular
6116914,highway,track,regular
6116914,cfcc,A41,tiger
6116914,county,"Skamania, WA",tiger
6116914,reviewed,no,tiger
6116914,name_base,Natl Forest Develop Road 3241,tiger
6126649,name,85th Place West,regular
6126649,highway,residential,regular
6126649,cfcc,A41,tiger
6126649,tlid,187773945,tiger
6126649,county,"Snohomish, WA",tiger
6126649,source,tiger_import_dch_v0.6_20070830,tiger
6126649,reviewed,no,tiger
6126649,zip_left,98026,tiger
6126649,name_base,85th,tiger
6126649,name_type,Pl,tiger
6126649,separated,no,tiger
6126649,zip_right,98026,tiger
6126649,name_direction_suffix,W,tiger
6128904,name,197th Street Northeast,regular
6128904,highway,unclassified,regular
6128904,cfcc,A41,tiger
6128904,county,"Snohomish, WA",tiger
6128904,reviewed,no,tiger
6128904,name_base,197th,tiger
6130637,name,Vista Place,regular
6130637,highway,residential,regular
6130637,cfcc,A41,tiger
6130637,county,"Snohomish, WA",tiger
6130637,reviewed,no,tiger
6130637,zip_left,98020,tiger
6130637,name_base,Vista,tiger
6130637,name_type,Pl,tiger
6130637,zip_right,98020,tiger
6132296,name,4th Street,regular
6132296,highway,residential,regular
6132296,cfcc,A41,tiger
6132296,county,"Snohomish, WA",tiger
6132296,reviewed,no,tiger
6132296,name_base,4th,tiger
6132296,name_type,St,tiger
6133698,name,Olympic View Drive,regular
6133698,lanes,2,regular
6133698,highway,tertiary,regular
6133698,cfcc,A41,tiger
6133698,county,"Snohomish, WA",tiger
6133698,reviewed,no,tiger
6133698,zip_left,98020,tiger
6133698,name_base,Olympic View,tiger
6133698,name_type,Dr,tiger
6133698,zip_right,98020,tiger
6135579,name,192nd Place Southwest,regular
6135579,highway,residential,regular
6135579,cfcc,A41,tiger
6135579,tlid,187752242:187752245:187752261,tiger
6135579,county,"Snohomish, WA",tiger
6135579,source,tiger_import_dch_v0.6_20070830,tiger
6135579,reviewed,no,tiger
6135579,zip_left,98026,tiger
6135579,name_base,192nd,tiger
6135579,name_type,Pl,tiger
6135579,separated,no,tiger
6135579,zip_right,98026,tiger
6135579,name_direction_suffix,SW,tiger
6136302,name,175th Street Southwest,regular
6136302,highway,residential,regular
6136302,cfcc,A41,tiger
6136302,county,"Snohomish, WA",tiger
6136302,reviewed,no,tiger
6136302,name_base,175th,tiger
6136302,name_direction_suffix,SW,tiger
6140015,name,Forest Dell Drive,regular
6140015,highway,residential,regular
6140015,cfcc,A41,tiger
6140015,tlid,187751640,tiger
6140015,county,"Snohomish, WA",tiger
6140015,source,tiger_import_dch_v0.6_20070830,tiger
6140015,reviewed,no,tiger
6140015,zip_left,98020,tiger
6140015,name_base,Forest Dell,tiger
6140015,name_type,Dr,tiger
6140015,separated,no,tiger
6140015,zip_right,98020,tiger
6142162,name,Tupelo Avenue,regular
6142162,highway,residential,regular
6142162,cfcc,A41,tiger
6142162,county,"Prince George's, MD",tiger
6142162,reviewed,no,tiger
6142162,zip_left,20708,tiger
6142162,name_base,Tupelo,tiger
6142162,name_type,Ave,tiger
6142162,zip_right,20708,tiger
6144264,name,Muncy Road,regular
6144264,highway,residential,regular
